iddepoint,territoire,typeattrait,titre,theme,description,arrondissement,accessibilityofelement,adresse_autresinformations,annee,presencepanneauinterpretation,lienimage,liens,adresse,urlimage,latitude,longitude,X,Y,type_geometrie
215,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Église The Virgin Mary Antiochian Orthodox","5b - Les villages de transit","Église érigée en 1951 selon les plans des architectes Jean Crevier et Yves Bélanger.","Ahuntsic-Cartierville (Montréal)","Visible","Église érigée en 1951 selon les plans des architectes Jean Crevier et Yves Bélanger.","1951","Non","http://www.flickr.com/photos/parcoursriverain/8511594782/","http://www.lieuxdeculte.qc.ca/fiche.php?LIEU_CULTE_ID=109976&LieuSuivant=3&LieuPrecedent=1&debut=0&nlieux=3&type_requete=nom_libre&lignes=25&NomLibre=antiochian","120, boulevard Gouin Est  Montréal QC, Canada","http://farm9.staticflickr.com/8250/8511594782_4310d9604b_q.jpg",45.552601,-73.673203,291276.790391,5045868.833678,"Point"
216,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Hôpital Notre-Dame-de-la-Merci","4 - Les rivages, espaces de bien-être et de loisirs","Hôpital construit par les Frères hospitaliers de Saint-Jean-de-Dieu pour les personnes âgées malades, afin de palier au problème d’espace de l’hospice Notre-Dame-de-la-Merci sur la rue Saint-Paul. Érigé selon les plans des architectes Joseph Sawyer et Jean-Omer Marchand.","Ahuntsic-Cartierville (Montréal)","Visible","Hôpital construit par les Frères hospitaliers de Saint-Jean-de-Dieu pour les personnes âgées malades, afin de palier au problème d’espace de l’hospice Notre-Dame-de-la-Merci sur la rue Saint-Paul. Érigé selon les plans des architectes Joseph Sawyer et Jean-Omer Marchand.","1932","Non","http://www.flickr.com/photos/parcoursriverain/8510483613/",,"555, boulevard Gouin Ouest  Montréal QC, Canada","http://farm9.staticflickr.com/8507/8510483613_8bd8c4212e_q.jpg",45.547699,-73.6875,290159.206738,5045326.588721,"Point"
217,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Croix de chemin en pierre du Haut-du-Sault","0 - Autre élément notable sans lien avec les thèmes historiques","Obélisque surmonté d’une croix, un type de croix de chemin rare au Québec. Établie à la limite de la paroisse de Sault-au-Récollet avec celle de Saint-Laurent, cette croix de chemin a servi au culte pour les paroissiens établis loin de l’église, comme c’était l’usage au XIXe siècle.","Ahuntsic-Cartierville (Montréal)","Visible","Obélisque surmonté d’une croix, un type de croix de chemin rare au Québec. Établie à la limite de la paroisse de Sault-au-Récollet avec celle de Saint-Laurent, cette croix de chemin a servi au culte pour les paroissiens établis loin de l’église, comme c’était l’usage au XIXe siècle.","1874","Non","http://www.flickr.com/photos/parcoursriverain/8513413074/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=croix&arrondissement=0&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id_bat=9999-09-0003-03&debut=0, http://www.historicplaces.ca/fr/rep-reg/place-lieu.aspx?id=7709&pid=30427&h=Hautdusault, http://www.ameriquefrancaise.org/fr/article-141/Croix_de_chemin.html","Montréal QC, Canada","http://farm9.staticflickr.com/8235/8513413074_d728d3a621_q.jpg",45.544601,-73.701302,289080.658164,5044984.965799,"Point"
218,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Pont de Bordeaux","5 - L'eau, un obstacle à franchir par ponts et traverses","Pont ferroviaire construit par le Canadien Pacifique (CP) entre Bordeaux et Laval-des-Rapides pour la ligne de chemin de fer reliant Montréal et Saint-Jérôme, aussi connue sous le nom de « p’tit train du Nord ». Une passerelle pour les piétons y est ajoutée en 1925.","Ahuntsic-Cartierville (Montréal)","Visible","Pont ferroviaire construit par le Canadien Pacifique (CP) entre Bordeaux et Laval-des-Rapides pour la ligne de chemin de fer reliant Montréal et Saint-Jérôme, aussi connue sous le nom de « p’tit train du Nord ». Une passerelle pour les piétons y est ajoutée en 1925.","1876","Non","http://www.flickr.com/photos/parcoursriverain/8511601146/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8525/8511601146_471a401264_q.jpg",45.547901,-73.699402,289229.915392,5045351.297023,"Point"
219,"Territoire riverain d’Ahuntsic-Cartierville","Secteur, zone","Ancien noyau villageois de Bordeaux","5b - Les villages de transit","Ancien noyau villageois ayant pris forme près du moulin du Gros-Sault, construit en 1798 sur l’île Perry. Il se développe sous l’impulsion de la construction de la ligne ferroviaire Montréal—Saint-Jérôme, autour de la gare et de l’hôtel érigés au pied du pont ferroviaire. Aussi appelé village du Gros-Sault. Annexé à la Ville de Montréal en 1910.","Ahuntsic-Cartierville (Montréal)","Visible","Ancien noyau villageois ayant pris forme près du moulin du Gros-Sault, construit en 1798 sur l’île Perry. Il se développe sous l’impulsion de la construction de la ligne ferroviaire Montréal—Saint-Jérôme, autour de la gare et de l’hôtel érigés au pied du pont ferroviaire. Aussi appelé village du Gros-Sault. Annexé à la Ville de Montréal en 1910.","Fin XIXe siècle","Non","http://www.flickr.com/photos/parcoursriverain/8511606346/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=4&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1036","Montréal QC, Canada","http://farm9.staticflickr.com/8090/8511606346_4792036e6b_q.jpg",45.544899,-73.7006,289135.551464,5045017.895297,"Point"
220,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Ancien poste de police no 26 et caserne de pompiers no 38 de Bordeaux","5b - Les villages de transit","Ancien poste de police et caserne de pompiers construit selon les plans de l’architecte Charles-Aimé Reeves. Transformé en 1975 pour accueillir des bureaux et une bibliothèque, puis une salle sportive en 1981. Aussi appelé Centre Bois-de-Boulogne.","Ahuntsic-Cartierville (Montréal)","Visible","Ancien poste de police et caserne de pompiers construit selon les plans de l’architecte Charles-Aimé Reeves. Transformé en 1975 pour accueillir des bureaux et une bibliothèque, puis une salle sportive en 1981. Aussi appelé Centre Bois-de-Boulogne.","1915","Non","http://www.flickr.com/photos/parcoursriverain/8744013785/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=4&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id_bat=8944-37-1115-01&debut=0","12137-12139, avenue du Bois-de-Boulogne 12140, rue De Saint-Réal Montréal QC, Canada","http://farm8.staticflickr.com/7294/8744013785_c5407624c7_q.jpg",45.544201,-73.697998,289338.515943,5044939.811281,"Point"
221,"Territoire riverain d’Ahuntsic-Cartierville","Emplacement, lieu dit","Emplacement de l'ancien moulin du Gros-Sault","3 - L'eau, une ressource à exploiter et contrôler","Moulin hydraulique construit par les sulpiciens à la tête des rapides aujourd'hui disparus. Il est démoli en 1892.","Ahuntsic-Cartierville (Montréal)","Potentiel archéologique","Moulin hydraulique construit par les sulpiciens à la tête des rapides aujourd'hui disparus. Il est démoli en 1892.","1798","Non",,,"Montréal QC, Canada",,45.547298,-73.697998,289339.365075,5045284.044333,"Point"
222,"Territoire riverain d’Ahuntsic-Cartierville","Emplacement, lieu dit","Site de l’ancienne jetée de la Montreal Water and Power","3 - L'eau, une ressource à exploiter et contrôler","Jetée construite à l’est de l’île Perry par la Montreal Water and Power qui projette de créer un bassin lui permettant d’approvisionner en eau potable plusieurs municipalités de l’île. L’entreprise abandonne le projet quelques années plus tard et la jetée est démolie.","Ahuntsic-Cartierville (Montréal)","Disparu","Jetée construite à l’est de l’île Perry par la Montreal Water and Power qui projette de créer un bassin lui permettant d’approvisionner en eau potable plusieurs municipalités de l’île. L’entreprise abandonne le projet quelques années plus tard et la jetée est démolie.","1890","Non",,,"Montréal QC, Canada",,45.548,-73.695801,289511.128362,5045361.62702,"Point"
223,"Territoire riverain d’Ahuntsic-Cartierville","Parc","Parc de l’île Perry","4b - Les parcs en rive","Parc boisé couvrant la totalité de l’île accessible depuis le boulevard Gouin Ouest.","Ahuntsic-Cartierville (Montréal)","Potentiel archéologique","Parc boisé couvrant la totalité de l’île accessible depuis le boulevard Gouin Ouest.",,"Non","http://www.flickr.com/photos/parcoursriverain/8511612774/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8091/8511612774_abd69fb936_q.jpg",45.5476,-73.697998,289339.44769,5045317.534997,"Point"
224,"Territoire riverain d’Ahuntsic-Cartierville","Parc","Parc de la Merci","4b - Les parcs en rive","Parc aménagé sur des remblais dans l'ancienne baie de Bordeaux. Il est renommé pour rappeler la proximité de l’hôpital Notre-Dame-de-la-Merci.","Ahuntsic-Cartierville (Montréal)","Visible","Parc aménagé sur des remblais dans l'ancienne baie de Bordeaux. Il est renommé pour rappeler la proximité de l’hôpital Notre-Dame-de-la-Merci.",,"Non","http://www.flickr.com/photos/parcoursriverain/8510503751/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8386/8510503751_da7c5e164d_q.jpg",45.547001,-73.695099,289565.665745,5045250.423255,"Point"
225,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Prison de Bordeaux","0 - Autre élément notable sans lien avec les thèmes historiques","Prison conçue par l’architecte Jean-Omer Marchand pour pallier le manque d’espace de l’ancienne prison Au-Pied-du-Courant sise rue Notre-Dame Est. Elle est aujourd’hui nommée Centre de détention de Montréal. Elle a subi de nombreuses transformations à travers le temps.","Ahuntsic-Cartierville (Montréal)","Visible","Prison conçue par l’architecte Jean-Omer Marchand pour pallier le manque d’espace de l’ancienne prison Au-Pied-du-Courant sise rue Notre-Dame Est. Elle est aujourd’hui nommée Centre de détention de Montréal. Elle a subi de nombreuses transformations à travers le temps.","1906","Non","http://www.flickr.com/photos/parcoursriverain/8745187960/",,"800, boulevard Gouin Ouest  Montréal QC, Canada","http://farm8.staticflickr.com/7292/8745187960_f51f8a42e7_q.jpg",45.5453,-73.685997,290275.948703,5045059.662189,"Point"
226,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Maison Pierre-Gagnon","5b - Les villages de transit","Ancienne maison villageoise ayant servi de point d’ancrage à un agrandissement conçu par l’architecte Pierre Thibault en 2002.","Ahuntsic-Cartierville (Montréal)","Visible","Ancienne maison villageoise ayant servi de point d’ancrage à un agrandissement conçu par l’architecte Pierre Thibault en 2002.","1811","Non","http://www.flickr.com/photos/parcoursriverain/8744048209/",,"1479, boulevard Gouin Ouest  Montréal QC, Canada","http://farm8.staticflickr.com/7283/8744048209_0383c9e131_q.jpg",45.544998,-73.700401,289151.068871,5045028.878845,"Point"
227,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément",,"2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme.","Ahuntsic-Cartierville (Montréal)","Visible","Ancienne maison de ferme.","Vers 1862","Non","http://www.flickr.com/photos/parcoursriverain/8745168018/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=4&protection=34&batiment=oui&zone=oui&lignes=25&type_requete=simple&id_bat=8944-07-7542-01&debut=0","1576, boulevard Gouin Ouest  Montréal QC, Canada","http://farm8.staticflickr.com/7282/8745168018_e74ae57bb6_q.jpg",45.544498,-73.700996,289104.460225,5044973.45991,"Point"
228,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Pont Médéric-Martin","5 - L'eau, un obstacle à franchir par ponts et traverses","Pont autoroutier reliant Montréal et Laval. Nommé en l'honneur de Médéric Martin, maire de Montréal de 1914 à 1924 et de 1926 à 1928.","Ahuntsic-Cartierville (Montréal)","Visible","Pont autoroutier reliant Montréal et Laval. Nommé en l'honneur de Médéric Martin, maire de Montréal de 1914 à 1924 et de 1926 à 1928.","1959","Non","http://www.flickr.com/photos/parcoursriverain/8511628682/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8528/8511628682_da36e58513_q.jpg",45.540298,-73.712196,288228.637257,5044508.961715,"Point"
229,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Pont Lachapelle","5 - L'eau, un obstacle à franchir par ponts et traverses","Pont routier reliant Cartierville et l’Abord-à-Plouffe (Laval), situé sur un important lieu de transit initié par la mise en service de la traverse de l'Abord-à-Plouffe à cet endroit. Celle-ci cesse ses activités lors de la construction du premier pont par Pascal Persillier dit Lachapelle (père) en 1836. Ce pont en bois est remplacé en 1880 par un second en métal, qui est remplacé en 1930 par le pont actuel. Il est ensuite doublé en 1976.","Ahuntsic-Cartierville (Montréal)","Visible","Pont routier reliant Cartierville et l’Abord-à-Plouffe (Laval), situé sur un important lieu de transit initié par la mise en service de la traverse de l'Abord-à-Plouffe à cet endroit. Celle-ci cesse ses activités lors de la construction du premier pont par Pascal Persillier dit Lachapelle (père) en 1836. Ce pont en bois est remplacé en 1880 par un second en métal, qui est remplacé en 1930 par le pont actuel. Il est ensuite doublé en 1976.","1930","Non","http://www.flickr.com/photos/parcoursriverain/8512267105/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8225/8512267105_1539307d45_q.jpg",45.533001,-73.728302,286968.568632,5043701.431405,"Point"
230,"Territoire riverain d’Ahuntsic-Cartierville","Vue","Vue sur le pont Lachapelle","5 - L'eau, un obstacle à franchir par ponts et traverses","Pont routier construit en 1930 et doublé en 1976.","Ahuntsic-Cartierville (Montréal)","Visible","Pont routier construit en 1930 et doublé en 1976.",,"Non","http://www.flickr.com/photos/parcoursriverain/8513381746/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8241/8513381746_d1264e3ec0_q.jpg",45.533298,-73.7257,287171.860279,5043733.923518,"Point"
231,"Territoire riverain d’Ahuntsic-Cartierville","Secteur, zone","Ancien noyau villageois de Cartierville","5b - Les villages de transit","Noyau villageois développé autour du premier pont construit en bois en 1836 par Pascal Persillier dit Lachapelle (père) à l’emplacement de l’actuel pont Lachapelle. Annexé à la Ville de Montréal en 1916.","Ahuntsic-Cartierville (Montréal)","Visible","Noyau villageois développé autour du premier pont construit en bois en 1836 par Pascal Persillier dit Lachapelle (père) à l’emplacement de l’actuel pont Lachapelle. Annexé à la Ville de Montréal en 1916.",,"Non","http://www.flickr.com/photos/parcoursriverain/8512270827/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=4&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1037","Montréal QC, Canada","http://farm9.staticflickr.com/8110/8512270827_f89a5f94bf_q.jpg",45.5322,-73.720497,287577.920198,5043610.701973,"Point"
